mol%HfO2,"Ms (K, Eddie)","T0 (K, Eddie)",Ms (K),T0 (K),T0 (C),"T0 (C, corr)"
36.68341709,1585.394762,1727.788628,1487.9947619999998,1624.4886279999998,1351.4886279999998,1460.9448029270109
37.18592965,1588.863218,1730.695481,1491.4632179999999,1627.395481,1354.395481,1463.851655927011
37.68844221,1592.325084,1733.585567,1494.925084,1630.285567,1357.285567,1466.741741927011
38.19095477,1595.7803609999999,1736.458886,1498.380361,1633.158886,1360.158886,1469.615060927011
38.69346734,1599.229049,1739.3154370000002,1501.829049,1636.015437,1363.015437,1472.471611927011
39.1959799,1602.6711480000001,1742.155221,1505.271148,1638.855221,1365.855221,1475.311395927011
39.69849246,1606.106657,1744.978238,1508.706657,1641.6782380000002,1368.6782380000002,1478.1344129270112
40.20100503,1609.5355769999999,1747.7844879999998,1512.135577,1644.484488,1371.484488,1480.940662927011
40.70351759,1612.957908,1750.57397,1515.557908,1647.27397,1374.27397,1483.730144927011
41.20603015,1616.37365,1753.3466850000002,1518.97365,1650.046685,1377.046685,1486.502859927011
41.70854271,1619.7828029999998,1756.1026329999997,1522.382803,1652.802633,1379.802633,1489.258807927011
42.21105528,1623.185366,1758.841814,1525.785366,1655.5418140000002,1382.5418140000002,1491.9979889270112
42.71356784,1626.58134,1761.5642269999998,1529.18134,1658.264227,1385.264227,1494.720401927011
43.2160804,1629.970725,1764.269873,1532.570725,1660.969873,1387.969873,1497.426047927011
43.71859296,1633.353521,1766.958752,1535.9535210000001,1663.658752,1390.658752,1500.114926927011
44.22110553,1636.729727,1769.6308629999999,1539.329727,1666.3308630000001,1393.3308630000001,1502.7870379270112
44.72361809,1640.099344,1772.2862079999998,1542.6993439999999,1668.986208,1395.986208,1505.442382927011
45.22613065,1643.462372,1774.9247850000002,1546.062372,1671.624785,1398.624785,1508.080959927011
45.72864322,1646.8188109999999,1777.546595,1549.418811,1674.2465949999998,1401.2465949999998,1510.7027699270109
46.23115578,1650.16866,1780.1516370000002,1552.76866,1676.851637,1403.851637,1513.307811927011
46.73366834,1653.511921,1782.739912,1556.1119210000002,1679.439912,1406.439912,1515.896086927011
47.2361809,1656.848592,1785.31142,1559.448592,1682.0114199999998,1409.0114199999998,1518.4675949270109
47.73869347,1660.178674,1787.866161,1562.778674,1684.566161,1411.566161,1521.022335927011
48.24120603,1663.502166,1790.4041350000002,1566.1021660000001,1687.104135,1414.104135,1523.560309927011
48.74371859,1666.819069,1792.9253410000001,1569.419069,1689.625341,1416.625341,1526.081515927011
49.24623116,1670.129384,1795.4297800000002,1572.729384,1692.12978,1419.12978,1528.585954927011
49.74874372,1673.433109,1797.917452,1576.033109,1694.617452,1421.617452,1531.073626927011
