,Ce,Ti,Hf,Sn,Ge,Y,Sc,Yb,Er,Sm,Nd,Gd,La,In,Nb,Ta,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,T,tetr_a,tetr_c,ref,mono_a,mono_b,mono_c,mono_beta
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,85.0,1.2985,0.4371,4.0,0.751375,0.8595,1.595,1.9880000000000002,25.0,5.1387,5.2302,Tani1983,,,,
15,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,80.0,1.288,0.4408,4.0,0.7485,0.866,1.61,1.964,25.0,5.147,5.2378,Tani1983,,,,
16,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,85.6,1.29976,0.43665600000000004,4.0,0.7517199999999999,0.85872,1.5932,1.99088,25.0,5.130908226,5.2274,Alan unpublished,,,,
17,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,84.1,1.29661,0.437766,4.0,0.7508575,0.86067,1.5977,1.9836799999999999,25.0,5.136423659,5.2321,Alan unpublished,,,,
18,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,79.3,1.28653,0.44131800000000004,4.0,0.7480975000000001,0.8669100000000001,1.6121,1.9606400000000002,25.0,5.1535356430000006,5.2442,Alan unpublished,,,,
19,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,96.0,1.3216,0.42896000000000006,4.0,0.7577,0.8452,1.5619999999999998,2.0408,1010.439492,5.150682327,5.272130707,Urabe1988,,,,
20,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,96.0,1.3216,0.42896000000000006,4.0,0.7577,0.8452,1.5619999999999998,2.0408,1203.558273,5.164986371,5.290568922,Urabe1988,,,,
21,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,94.0,1.3174,0.43044,4.0,0.75655,0.8478,1.568,2.0312,823.4793971,5.1492952039999995,5.265054367,Urabe1988,,,,
22,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,94.0,1.3174,0.43044,4.0,0.75655,0.8478,1.568,2.0312,1012.138807,5.157917127,5.276779284,Urabe1988,,,,
23,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,94.0,1.3174,0.43044,4.0,0.75655,0.8478,1.568,2.0312,1202.398198,5.170673222,5.292636007,Urabe1988,,,,
24,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,92.0,1.3132,0.43191999999999997,4.0,0.7554,0.8504,1.574,2.0216,706.8226835,5.149911309,5.2661896089999995,Urabe1988,,,,
25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,92.0,1.3132,0.43191999999999997,4.0,0.7554,0.8504,1.574,2.0216,909.2398019999999,5.1605884930000006,5.276869157,Urabe1988,,,,
26,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,92.0,1.3132,0.43191999999999997,4.0,0.7554,0.8504,1.574,2.0216,1110.482655,5.173335127,5.29271642,Urabe1988,,,,
27,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,88.0,1.3048,0.43488000000000004,4.0,0.7531,0.8556,1.5859999999999999,2.0024,21.21482673,5.127764638,5.220783494,Urabe1988,,,,
28,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,88.0,1.3048,0.43488000000000004,4.0,0.7531,0.8556,1.5859999999999999,2.0024,303.6451897,5.141473863,5.242246655,Urabe1988,,,,
29,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,88.0,1.3048,0.43488000000000004,4.0,0.7531,0.8556,1.5859999999999999,2.0024,606.7972589,5.157750388999999,5.265757981,Urabe1988,,,,
30,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,88.0,1.3048,0.43488000000000004,4.0,0.7531,0.8556,1.5859999999999999,2.0024,807.9549688,5.168944344,5.280057294,Urabe1988,,,,
31,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,88.0,1.3048,0.43488000000000004,4.0,0.7531,0.8556,1.5859999999999999,2.0024,1010.4998019999999,5.180657435,5.2943518780000005,Urabe1988,,,,
32,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,96.0,1.3216,0.42896000000000006,4.0,0.7577,0.8452,1.5619999999999998,2.0408,927.0,5.1473215880000005,5.266768,Eddie,,,,
33,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,96.0,1.3216,0.42896000000000006,4.0,0.7577,0.8452,1.5619999999999998,2.0408,947.0,5.148344065,5.268082,Eddie,,,,
34,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,96.0,1.3216,0.42896000000000006,4.0,0.7577,0.8452,1.5619999999999998,2.0408,967.0,5.1494641219999995,5.269658,Eddie,,,,
35,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,96.0,1.3216,0.42896000000000006,4.0,0.7577,0.8452,1.5619999999999998,2.0408,987.0,5.150513468,5.2709980000000005,Eddie,,,,
36,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,96.0,1.3216,0.42896000000000006,4.0,0.7577,0.8452,1.5619999999999998,2.0408,1027.0,5.152675801,5.274023000000001,Eddie,,,,
37,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,96.0,1.3216,0.42896000000000006,4.0,0.7577,0.8452,1.5619999999999998,2.0408,847.0,5.143025207,5.260864,Eddie,,,,
38,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,96.0,1.3216,0.42896000000000006,4.0,0.7577,0.8452,1.5619999999999998,2.0408,827.0,5.141934849,5.25936,Eddie,,,,
39,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,92.0,1.3132,0.43191999999999997,4.0,0.7554,0.8504,1.574,2.0216,627.0,5.1462269869999995,5.256056,Eddie,,,,
