"mol%TiO2","mol%HfO2","Ms (K)","T0 (K)"
8,9,1289.910353012301,1439.5125426645684
8,10,1300.0711510071037,1449.9611142697179
8,11,1310.0033001408533,1460.121035916175
8,12,1319.734956597793,1470.0266098248912
8,13,1329.2889134794375,1479.705604460462
8,14,1338.6838196870399,1489.1807394757136
8,15,1347.935080834674,1498.4707832795316
8,16,1357.0555349340752,1507.5913762126295
8,17,1366.0559659150854,1516.5556561612223
8,18,1374.9454986414294,1525.3747397982484
8,19,1383.7319061451722,1534.058096882151
8,20,1392.4218510252097,1542.6138443487307
8,21,1401.0210769013015,1551.04897955643
8,22,1409.5345615772176,1559.3695668825796
8,23,1417.9666405594887,1567.5808882042033
8,24,1426.3211074163069,1575.6875651636883
8,25,1434.6012958894403,1583.6936592043621
8,26,1442.810147515719,1591.602753952669
8,27,1450.9502676563598,1599.4180234777737
8,28,1459.0239721879811,1607.1422891744578
8,29,1467.0333266221633,1614.778067421865
8,30,1474.9801790482297,1622.3276097171336
8,31,1482.866188007869,1629.792936634606
8,32,1490.6928461885977,1637.1758666911874
8,33,1498.4615006498843,1644.478040987513
8,34,1506.1733701598312,1651.7009443289123
8,35,1513.829560112754,1658.8459233992896
8,36,1521.4310754125706,1665.9142024567307
8,37,1528.9788316384188,1672.9068969363907
8,38,1536.4736647538457,1679.8250252790685
8,39,1543.916339576575,1686.6695192497389
8,40,1551.30755718952,1693.4412329662912
8,41,1558.6479614443258,1700.1409508227268
8,42,1565.93814468452,1706.7693944615091
8,43,1573.1786527953025,1713.327228925699
8,44,1580.369989670706,1719.8150681011903
8,45,1587.5126211750328,1726.2334795428808
8,46,1594.606978664107,1732.5829887645523
8,47,1601.6534621224373,1738.864083060808
8,48,1608.6524429641859,1745.0772149194963
8,49,1615.6042665393818,1751.2228050749297
8,50,1622.5092543807998,1757.3012452452513
8,51,1629.3677062224008,1763.3129005914554
8,52,1636.179901815856,1769.25811193047
8,53,1642.9461025684816,1775.137197730563
8,54,1649.6665530226053,1780.9504559136687
8,55,1656.3414821940462,1786.698165486048
8,56,1662.9711047851504,1792.380588016053
8,57,1669.5556222857958,1797.9979689755369
8,58,1676.0952239743685,1803.5505389592693
8,59,1682.5900878290377,1809.0385147951592
8,60,1689.0403813586818,1814.4621005565505
8,61,1695.4462623615068,1819.8214884864237
8,62,1701.8078796186915,1825.1168598424683
8,63,1708.1253735293665,1830.3483856706607
8,64,1714.3988766927105,1835.516227514427
8,65,1720.6285144422036,1840.6205380654942
8,66,1726.8144053365406,1845.6614617619957
8,67,1732.9566616112693,1850.6391353386762
8,68,1739.0553895948196,1855.553688333732
8,69,1745.1106900920693,1860.4052435560993
8,70,1751.122658738412,1865.1939175168156
8,71,1757.0913863269284,1869.919820827631
8,72,1763.0169591110623,1874.5830585697086
8,73,1768.89945908483,1879.1837306350035
8,74,1774.73896424252,1883.721932042712
8,75,1780.5355488196842,1888.1977532327774
8,76,1786.2892835168236,1892.6112803384929
8,77,1792.0002357073834,1896.9625954398125
8,78,1797.6684696311327,1901.2517767990096
8,79,1803.294046574315,1905.4788990801096
8,80,1808.877025037416,1909.6440335533077
8,81,1814.4174608916849,1913.7472482856417
8,82,1819.9154075252254,1917.7886083189587
8,83,1825.3709159793927,1921.7681758361093
8,84,1830.784035076346,1925.6860103163635
8,85,1836.1548115383962,1929.5421686807076
8,86,1841.4832900996435,1933.3367054280047
8,87,1846.7695136106586,1937.0696727623863
8,88,1852.0135231365668,1940.741120712838
8,89,1857.215358049083,1944.3510972452796
8,90,1862.3750561129327,1947.8996483678507
8,91,1867.492653566975,1951.3868182297729
8,92,1872.5681852005184,1954.8126492142937
8,93,1877.6016844250787,1958.1771820261124
8,94,1882.5931833419165,1961.480455773671
8,95,1887.5427128056417,1964.7225080466549
8,96,1892.450302484147,1967.9033749889588
8,97,1897.3159809151284,1971.023091367583
8,98,1902.1397755593637,1974.081690637584
8,99,1906.9217128510843,1977.079205003318
8,100,1911.6618182454667,1980.0156654764405
9,0,1172.455211753391,1313.519119158956
9,1,1187.5579183604314,1330.2448012469995
9,2,1201.4676486494018,1345.4778086924437
9,3,1214.472411458285,1359.5763180345282
9,4,1226.7715975210704,1372.7882976465703
9,5,1238.5076287906056,1385.290867795228
9,6,1249.7849480323137,1397.2139166760505
9,7,1260.6818873202615,1408.6548604356954
9,8,1271.2583476522648,1419.6881937745534
9,9,1281.560918693291,1430.3718570151495
9,10,1291.626381757789,1440.751592517366
9,11,1301.4841618973169,1450.8639941691179
9,12,1311.1580793917133,1460.7386855939455
9,13,1320.6676235608325,1470.3999043020333
9,14,1330.0288942776085,1479.8676725843793
9,15,1339.2553081028177,1489.1586756835109
9,16,1348.3581349475173,1498.2869292031255
9,17,1357.346910890279,1507.2642925002147
9,18,1366.2297592573066,1516.1008679899808
9,19,1375.0136428996345,1524.805314885468
9,20,1383.7045642750343,1533.3850980254995
9,21,1392.3077255135954,1541.8466869370498
9,22,1400.827657502795,1550.195716369433
9,23,1409.268324769196,1558.4371167282918
9,24,1417.633211290665,1566.575220794335
9,25,1425.9253911653425,1574.613851609382
9,26,1434.147587165845,1582.556395296165
9,27,1442.3022195345197,1590.4058617415865
9,28,1450.391446865877,1598.1649354393383
9,29,1458.4172005339515,1605.8360183048428
9,30,1466.3812138231501,1613.4212659032337
9,31,1474.2850466894254,1620.9226182431166
9,32,1482.1301068979033,1628.341826063964
9,33,1489.9176681408421,1635.680473368168
9,34,1497.6488856275123,1642.9399968090547
9,35,1505.3248095481488,1650.121702435102
