CollectionCode	StructuredFormula	StructureType	Reference	StandardisedCellParameter	FormulaUnitsPerCell	Temperature	Pressure	SumFormula	MeasuredDensity	
90610	Sn0.904 O2	Rutile-TiO2	International Journal of Inorganic Materials (2000) 45, (1) p155-p157	4.7385 4.7385 3.1865 90.000 90.000 90.000	2	293.00	0.101325	O2 Sn0.904		
90611	Sn O2	Rutile-TiO2	International Journal of Inorganic Materials (2000) 45, (1) p155-p157	4.7350 4.7350 3.1837 90.000 90.000 90.000	2	293.00	0.101325	O2 Sn1		
91517	Sn O2	Rutile-TiO2	Korean Journal of Ceramics (2000) 6, (4) p354-p358	4.7365 4.7365 3.2010 90.000 90.000 90.000	2	293.00	0.101325	O2 Sn1		
92551	Ge O2	Rutile-TiO2	Zeitschrift fuer Kristallographie (2000) 215, (*) p424-p428	4.4019 4.4019 2.8651 90.000 90.000 90.000	2	293.00	0.101325	Ge1 O2		
92552	Sn O2	Rutile-TiO2	Zeitschrift fuer Kristallographie (2000) 215, (*) p424-p428	4.7397 4.7397 3.1877 90.000 90.000 90.000	2	293.00	0.101325	O2 Sn1		
93097	Ti O2	Rutile-TiO2	Journal of Applied Crystallography (2001) 34, (*) p757-p762	4.5930 4.5930 2.9610 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
97277	Ti O2	Rutile-TiO2	American Mineralogist (2003) 88, (*) p986-p995	4.6257 4.6257 2.9806 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
109469	Ti O2	Rutile-TiO2	Powder Diffraction (2003) 18, (*) p281-p284	4.6010 4.6010 2.9634 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.23	
154960	Sn O2	Rutile-TiO2	Journal of Physics and Chemistry of Solids (2002) 63, (*) p765-p772	4.7331 4.7331 3.1815 90.000 90.000 90.000	2	293.00	0.101325	O2 Sn1		
159915	Ti O2	Rutile-TiO2	Wuli Xuebao (2007) 56, (6) p3379-p3387	4.5918 4.5918 2.9588 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
160667	Sn O2	Rutile-TiO2	Chemical sensors (2008) 24, (*) p19-p21	4.7348 4.7348 3.1837 90.000 90.000 90.000	2	293.00	0.101325	O2 Sn1		
167953	Ti O2	Rutile-TiO2	Journal of the European Ceramic Society (2010) 30, (*) p2481-p2490	4.5911 4.5911 2.9624 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
167954	Ti O2	Rutile-TiO2	Journal of the European Ceramic Society (2010) 30, (*) p2481-p2490	4.5940 4.5940 2.9593 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
167955	Ti O2	Rutile-TiO2	Journal of the European Ceramic Society (2010) 30, (*) p2481-p2490	4.5941 4.5941 2.9593 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
167956	Ti O2	Rutile-TiO2	Journal of the European Ceramic Society (2010) 30, (*) p2481-p2490	4.5941 4.5941 2.9595 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
167957	Ti O2	Rutile-TiO2	Journal of the European Ceramic Society (2010) 30, (*) p2481-p2490	4.5935 4.5935 2.9595 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
167958	Ti O2	Rutile-TiO2	Journal of the European Ceramic Society (2010) 30, (*) p2481-p2490	4.5937 4.5937 2.9593 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
167959	Ti O2	Rutile-TiO2	Journal of the European Ceramic Society (2010) 30, (*) p2481-p2490	4.5938 4.5938 2.9594 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
167960	Ti O2	Rutile-TiO2	Journal of the European Ceramic Society (2010) 30, (*) p2481-p2490	4.5942 4.5942 2.9594 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
167961	Ti O2	Rutile-TiO2	Journal of the European Ceramic Society (2010) 30, (*) p2481-p2490	4.5935 4.5935 2.9595 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
167962	Ti O2	Rutile-TiO2	Journal of the European Ceramic Society (2010) 30, (*) p2481-p2490	4.5936 4.5936 2.9591 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
167963	Ti O2	Rutile-TiO2	Journal of the European Ceramic Society (2010) 30, (*) p2481-p2490	4.5928 4.5928 2.9605 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
167964	Ti O2	Rutile-TiO2	Journal of the European Ceramic Society (2010) 30, (*) p2481-p2490	4.5944 4.5944 2.9610 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
167965	Ti O2	Rutile-TiO2	Journal of the European Ceramic Society (2010) 30, (*) p2481-p2490	4.5958 4.5958 2.9616 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
168138	Ti O2	Rutile-TiO2	Solid State Ionics (2010) 181, (*) p994-p1001	4.5957 4.5957 2.9589 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
168140	Ti O2	Rutile-TiO2	Solid State Ionics (2010) 181, (*) p994-p1001	4.5944 4.5944 2.9589 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
202240	Ti O2	Rutile-TiO2	Journal of the American Chemical Society (1987) 109, (*) p3639-p3646	4.5931 4.5931 2.9589 90.000 90.000 90.000	2	295.00	0.101325	O2 Ti1	4.264	
202241	Ti O2	Rutile-TiO2	Journal of the American Chemical Society (1987) 109, (*) p3639-p3646	4.5867 4.5867 2.9541 90.000 90.000 90.000	2	15.00	0.101325	O2 Ti1		
257864	Ti O2	Rutile-TiO2	Crystal Growth & Design (2017) 17, (4) p1460-p1464	4.6012 4.6012 2.9637 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
257865	Ti O2	Rutile-TiO2	Crystal Growth & Design (2017) 17, (4) p1460-p1464	4.6189 4.6189 2.9357 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
262767	Sn O2	Rutile-TiO2	Journal of the American Chemical Society (2012) 134, (15) p6785-p6792	4.6184 4.6184 3.1393 90.000 90.000 90.000	2	473.00	0.101325	O2 Sn1		
262768	Sn O2	Rutile-TiO2	Journal of the American Chemical Society (2012) 134, (15) p6785-p6792	4.7382 4.7382 3.1901 90.000 90.000 90.000	2	523.00	0.101325	O2 Sn1		
262769	Sn O2	Rutile-TiO2	Journal of the American Chemical Society (2012) 134, (15) p6785-p6792	4.6692 4.6692 3.1431 90.000 90.000 90.000	2	623.00	0.101325	O2 Sn1		
262770	Sn O2	Rutile-TiO2	Journal of the American Chemical Society (2012) 134, (15) p6785-p6792	4.7424 4.7424 3.1902 90.000 90.000 90.000	2	523.00	0.101325	O2 Sn1		
16637	Ge O2	Rutile-TiO2	Acta Crystallographica (1956) 9, (*) p515-p520	4.3950 4.3950 2.8600 90.000 90.000 90.000	2	293.00	0.101325	Ge1 O2	6.239	
24277	Ti O2	Rutile-TiO2	Zeitschrift fuer Kristallographie (1942) 104, (*) p358-p374	4.5890 4.5890 2.9540 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.24	
24294	Ti O2	Rutile-TiO2	Acta Chemica Scandinavica  (1957) 11, (*) p1641-p1652	4.5930 4.5930 2.9590 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.264	
24780	Ti O2	Rutile-TiO2	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1982) 38, (*) p701-p702	4.5922 4.5922 2.9590 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.24	
31321	Ti O2	Rutile-TiO2	Zeitschrift fuer Kristallographie (1982) 160, (*) p187-p203	4.5937 4.5937 2.9587 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.264	
31322	Ti O2	Rutile-TiO2	Zeitschrift fuer Kristallographie (1982) 161, (*) p1-p5	4.5937 4.5937 2.9587 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.264	
