CollectionCode	StructuredFormula	StructureType	Reference	StandardisedCellParameter	FormulaUnitsPerCell	Temperature	Pressure	SumFormula	MeasuredDensity	
430883	Dy Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2522 5.2522 11.1756 90.000 90.000 90.000	4	1458.00	0.101325	Dy1 Nb1 O4		
430898	La Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.4055 5.4055 11.6832 90.000 90.000 90.000	4	814.00	0.101325	La1 Nb1 O4		
430899	La Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.4061 5.4061 11.6871 90.000 90.000 90.000	4	838.00	0.101325	La1 Nb1 O4		
430900	La Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.4069 5.4069 11.6911 90.000 90.000 90.000	4	864.00	0.101325	La1 Nb1 O4		
430901	La Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.4077 5.4077 11.6948 90.000 90.000 90.000	4	889.00	0.101325	La1 Nb1 O4		
430902	La Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.4086 5.4086 11.6986 90.000 90.000 90.000	4	915.00	0.101325	La1 Nb1 O4		
430903	La Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.4095 5.4095 11.7023 90.000 90.000 90.000	4	940.00	0.101325	La1 Nb1 O4		
430904	La Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.4103 5.4103 11.7060 90.000 90.000 90.000	4	964.00	0.101325	La1 Nb1 O4		
430905	La Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.4111 5.4111 11.7096 90.000 90.000 90.000	4	989.00	0.101325	La1 Nb1 O4		
430917	Y Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2146 5.2146 11.0630 90.000 90.000 90.000	4	1131.00	0.101325	Nb1 O4 Y1		
430918	Y Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2167 5.2167 11.0704 90.000 90.000 90.000	4	1183.00	0.101325	Nb1 O4 Y1		
430919	Y Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2206 5.2206 11.0845 90.000 90.000 90.000	4	1277.00	0.101325	Nb1 O4 Y1		
430920	Y Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2228 5.2228 11.0929 90.000 90.000 90.000	4	1332.00	0.101325	Nb1 O4 Y1		
430921	Y Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2235 5.2235 11.0960 90.000 90.000 90.000	4	1354.00	0.101325	Nb1 O4 Y1		
430922	Y Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2282 5.2282 11.1112 90.000 90.000 90.000	4	1455.00	0.101325	Nb1 O4 Y1		
432487	Y As O4	Scheelite-CaWO4	Journal of Solid State Chemistry (2018) 263, (*) p65-p71	4.9823 4.9823 11.2071 90.000 90.000 90.000	4	293.00	0.101325	As1 O4 Y1		
16639	Ge U O4	Scheelite-CaWO4	Acta Crystallographica (1956) 9, (*) p533-p533	5.0840 5.0840 11.2260 90.000 90.000 90.000	4	293.00	0.101325	Ge1 O4 U1		
173636	Yb (P O4)	Scheelite-CaWO4	Journal of Solid State Chemistry (2008) 181, (10) p2633-p2638	4.4910 4.4910 10.3520 90.000 90.000 90.000	4	293.00	45700	O4 P1 Yb1		
246710	Y (V O4)	Scheelite-CaWO4	Physical Review B: Condensed Matter and Materials Physics (2004) 70, (*) p064109-1-p064109-6	4.8929 4.8929 10.7880 90.000 90.000 90.000	4	293.00	16400	O4 V1 Y1		
246711	Y (V O4)	Scheelite-CaWO4	Physical Review B: Condensed Matter and Materials Physics (2004) 70, (*) p064109-1-p064109-6	5.0320 5.0320 11.2330 90.000 90.000 90.000	4	293.00	0.101325	O4 V1 Y1		
250875	Sm V O4	Scheelite-CaWO4	Inorganic Chemistry (2013) 52, (9) p5464-p5469	5.1090 5.1090 11.4113 90.000 90.000 90.000	4	293.00	0.101325	O4 Sm1 V1		
252450	Sm V O4	Scheelite-CaWO4	Journal of Physics: Condensed Matter (2016) 28, (3) p035402-1-p035402-10	5.0440 5.0440 11.2750 90.000 90.000 90.000	4	295.00	10000	O4 Sm1 V1		
2504	Y (V O4)	Zircon-ZrSiO4	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1973) 29, (*) p141-p142	7.1200 7.1200 6.2890 90.000 90.000 90.000	4	293.00	0.101325	O4 V1 Y1	4.49	
31177	Hf Si O4	Zircon-ZrSiO4	American Mineralogist (1982) 67, (*) p804-p808	6.5725 6.5725 5.9632 90.000 90.000 90.000	4	293.00	0.101325	Hf1 O4 Si1	6.97	
36052	Er (P O4)	Zircon-ZrSiO4	Acta Crystallographica, Section C: Crystal Structure Communications (1983) 39, (*) p23-p24	6.8600 6.8600 6.0030 90.000 90.000 90.000	4	293.00	0.101325	Er1 O4 P1	6.15	
36054	Yb (P O4)	Zircon-ZrSiO4	Acta Crystallographica, Section C: Crystal Structure Communications (1983) 39, (*) p23-p24	6.8160 6.8160 5.9660 90.000 90.000 90.000	4	293.00	0.101325	O4 P1 Yb1	6.4	
59111	Hf Si O4	Zircon-ZrSiO4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1986) 532, (*) p171-p174	6.5800 6.5800 5.9800 90.000 90.000 90.000	4	293.00	0.101325	Hf1 O4 Si1		
63202	Nb (B O4)	Zircon-ZrSiO4	Angewandte Chemie (1988) 100, (*) p973-p975	6.2141 6.2141 5.4760 90.000 90.000 90.000	4	297.00	0.101325	B1 Nb1 O4		
66033	Ce (V O4)	Zircon-ZrSiO4	Zeitschrift fuer Naturforschung, B: A Journal of Chemical Sciences (1990) 45, (*) p598-p602	7.3830 7.3830 6.4850 90.000 90.000 90.000	4	293.00	0.101325	Ce1 O4 V1	4.75	
74483	Sc (P O4)	Zircon-ZrSiO4	Powder Diffraction (1993) 8, (*) p164-p167	6.5787 6.5787 5.7963 90.000 90.000 90.000	4	293.00	0.101325	O4 P1 Sc1		
78073	Sc (V O4)	Zircon-ZrSiO4	Journal of Solid State Chemistry (1994) 109, (*) p197-p202	6.7804 6.7804 6.1345 90.000 90.000 90.000	4	293.00	0.101325	O4 Sc1 V1	3.7	
78074	Y (V O4)	Zircon-ZrSiO4	Journal of Solid State Chemistry (1994) 109, (*) p197-p202	7.1183 7.1183 6.2893 90.000 90.000 90.000	4	293.00	0.101325	O4 V1 Y1	4.24	
78075	Ce (V O4)	Zircon-ZrSiO4	Journal of Solid State Chemistry (1994) 109, (*) p197-p202	7.4004 7.4004 6.4972 90.000 90.000 90.000	4	293.00	0.101325	Ce1 O4 V1	4.75	
78077	Nd (V O4)	Zircon-ZrSiO4	Journal of Solid State Chemistry (1994) 109, (*) p197-p202	7.3308 7.3308 6.4356 90.000 90.000 90.000	4	293.00	0.101325	Nd1 O4 V1	4.95	
78080	Er (V O4)	Zircon-ZrSiO4	Journal of Solid State Chemistry (1994) 109, (*) p197-p202	7.0957 7.0957 6.2729 90.000 90.000 90.000	4	293.00	0.101325	Er1 O4 V1	5.9	
78082	Yb (V O4)	Zircon-ZrSiO4	Journal of Solid State Chemistry (1994) 109, (*) p197-p202	7.0427 7.0427 6.2472 90.000 90.000 90.000	4	293.00	0.101325	O4 V1 Yb1	6.15	
79754	Y (P O4)	Zircon-ZrSiO4	American Mineralogist (1995) 80, (*) p21-p26	6.8947 6.8947 6.0276 90.000 90.000 90.000	4	293.00	0.101325	O4 P1 Y1	4.68	
79758	Er (P O4)	Zircon-ZrSiO4	American Mineralogist (1995) 80, (*) p21-p26	6.8507 6.8507 5.9968 90.000 90.000 90.000	4	293.00	0.101325	Er1 O4 P1	6.15	
79760	Yb (P O4)	Zircon-ZrSiO4	American Mineralogist (1995) 80, (*) p21-p26	6.8093 6.8093 5.9639 90.000 90.000 90.000	4	293.00	0.101325	O4 P1 Yb1	6.4	
81701	Sm (V O4)	Zircon-ZrSiO4	Inorganica Chimica Acta (1996) 248, (*) p85-p88	7.2647 7.2647 6.3840 90.000 90.000 90.000	4	292.00	0.101325	O4 Sm1 V1	5.2	
81703	Gd (V O4)	Zircon-ZrSiO4	Inorganica Chimica Acta (1996) 248, (*) p85-p88	7.2122 7.2122 6.3460 90.000 90.000 90.000	4	292.00	0.101325	Gd1 O4 V1	5.45	
84235	Er (V O4)	Zircon-ZrSiO4	Vestnik Moskovskogo Universiteta, Seriya 2: Khimiya (1990) 31, (3) p266-p270	7.1030 7.1030 6.3050 90.000 90.000 90.000	4	293.00	0.101325	Er1 O4 V1		
92040	Ce (Si O4)	Zircon-ZrSiO4	Powder Diffraction (2000) 15, (4) p234-p238	6.9564 6.9564 6.1953 90.000 90.000 90.000	4	293.00	0.101325	Ce1 O4 Si1		
93786	Nd Cr O4	Zircon-ZrSiO4	Journal of Solid State Chemistry (2001) 160, (*) p362-p367	7.3118 7.3118 6.4002 90.000 90.000 90.000	4	293.00	0.101325	Cr1 Nd1 O4		
93787	Sm (Cr O4)	Zircon-ZrSiO4	Journal of Solid State Chemistry (2001) 160, (*) p362-p367	7.2507 7.2507 6.3517 90.000 90.000 90.000	4	293.00	0.101325	Cr1 O4 Sm1		
95971	Y (Cr O4)	Zircon-ZrSiO4	Journal of Materials Chemistry (2002) 12, (*) p1189-p1193	7.1162 7.1162 6.2543 90.000 90.000 90.000	4	293.00	0.101325	Cr1 O4 Y1		
152691	Sm (V O4)	Zircon-ZrSiO4	Journal of Alloys and Compounds (2005) 395, (*) p149-p153	7.2467 7.2467 6.3722 90.000 90.000 90.000	4	293.00	0.101325	O4 Sm1 V1		
152692	Gd (V O4)	Zircon-ZrSiO4	Journal of Alloys and Compounds (2005) 395, (*) p149-p153	7.1926 7.1926 6.3392 90.000 90.000 90.000	4	293.00	0.101325	Gd1 O4 V1		
155920	Sc (As O4)	Zircon-ZrSiO4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p1154-p1162	6.7102 6.7102 6.1132 90.000 90.000 90.000	4	295.00	0.101325	As1 O4 Sc1		
156945	Th (Ge O4)	Zircon-ZrSiO4	Journal of Alloys and Compounds (2007) 438, (*) p274-p278	7.2399 7.2399 6.5416 90.000 90.000 90.000	4	300.00	0.101325	Ge1 O4 Th1		
157326	Ce (V O4)	Zircon-ZrSiO4	Industrial & Engineering Chemistry Research (2007) 46, (*) p1013-p1017	7.3668 7.3668 6.4852 90.000 90.000 90.000	4	293.00	0.101325	Ce1 O4 V1		
157328	Nd (V O4)	Zircon-ZrSiO4	Industrial & Engineering Chemistry Research (2007) 46, (*) p1013-p1017	7.3607 7.3607 6.4631 90.000 90.000 90.000	4	293.00	0.101325	Nd1 O4 V1		
157933	Y (Cr O4)	Zircon-ZrSiO4	Physical Review B: Condensed Matter and Materials Physics (2007) 75, (*) p104402-1-p104402-7	7.1074 7.1074 6.2486 90.000 90.000 90.000	4	293.00	0.101325	Cr1 O4 Y1		
