CollectionCode	StructuredFormula	StructureType	Reference	StandardisedCellParameter	FormulaUnitsPerCell	Temperature	Pressure	SumFormula	MeasuredDensity	
41530	Sn.918 Sb.109 O2	(Sn,Sb)O2	Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry  (1981) 1981, (*) p2447-p2451	4.7373 4.7373 3.1816 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.109 Sn0.918		
82657	Ti B0.024 O2	(Sn,Sb)O2	Journal of Solid State Chemistry (1996) 127, (*) p240-p247	4.6092 4.6092 2.9673 90.000 90.000 90.000	2	293.00	0.101325	B0.024 O2 Ti1		
258169	Sn0.99 Sb0.01 O2	(Sn,Sb)O2	Journal of Alloys and Compounds (2017) 692, (*) p515-p521	4.7383 4.7383 3.1874 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.01 Sn0.99		
258170	Sn0.97 Sb0.03 O2	(Sn,Sb)O2	Journal of Alloys and Compounds (2017) 692, (*) p515-p521	4.7401 4.7401 3.1895 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.03 Sn0.97		
258171	Sn0.95 Sb0.05 O2	(Sn,Sb)O2	Journal of Alloys and Compounds (2017) 692, (*) p515-p521	4.7416 4.7416 3.1914 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.05 Sn0.95		
72769	(Ti0.85 Sn0.15) O2	Anatase-TiO2	Journal of the Ceramic Society of Japan (1992) 100, (12) p1473-p1474	3.8065 3.8065 9.6733 90.000 90.000 90.000	4	293.00	0.101325	O2 Sn0.15 Ti0.85		
156839	(Ti0.99 Ce0.01) O2	Anatase-TiO2	Gaoya Wuli Xuebao (2006) 20, (2) p211-p216	3.7944 3.7944 9.5134 90.000 90.000 90.000	4	293.00	0.101325	Ce0.01 O2 Ti0.99		
156840	(Ti0.98 Ce0.02) O2	Anatase-TiO2	Gaoya Wuli Xuebao (2006) 20, (2) p211-p216	3.7956 3.7956 9.5143 90.000 90.000 90.000	4	293.00	0.101325	Ce0.02 O2 Ti0.98		
156841	(Ti0.96 Ce0.04) O2	Anatase-TiO2	Gaoya Wuli Xuebao (2006) 20, (2) p211-p216	3.7966 3.7966 9.5155 90.000 90.000 90.000	4	293.00	0.101325	Ce0.04 O2 Ti0.96		
156842	(Ti0.94 Ce0.06) O2	Anatase-TiO2	Gaoya Wuli Xuebao (2006) 20, (2) p211-p216	3.7977 3.7977 9.5168 90.000 90.000 90.000	4	293.00	0.101325	Ce0.06 O2 Ti0.94		
159911	(Ti0.98 Cr0.02) O2	Anatase-TiO2	Wuli Xuebao (2007) 56, (6) p3379-p3387	3.7886 3.7886 9.5045 90.000 90.000 90.000	4	293.00	0.101325	Cr0.02 O2 Ti0.98		
159912	(Ti0.96 Cr0.04) O2	Anatase-TiO2	Wuli Xuebao (2007) 56, (6) p3379-p3387	3.7877 3.7877 9.5003 90.000 90.000 90.000	4	293.00	0.101325	Cr0.04 O2 Ti0.96		
159913	(Ti0.94 Cr0.06) O2	Anatase-TiO2	Wuli Xuebao (2007) 56, (6) p3379-p3387	3.7858 3.7858 9.4889 90.000 90.000 90.000	4	293.00	0.101325	Cr0.06 O2 Ti0.94		
159914	(Ti0.93 Cr0.07) O2	Anatase-TiO2	Wuli Xuebao (2007) 56, (6) p3379-p3387	3.7852 3.7852 9.4860 90.000 90.000 90.000	4	293.00	0.101325	Cr0.07 O2 Ti0.93		
189266	(Ti0.99 Eu0.01) O2	Anatase-TiO2	Journal of Alloys and Compounds (2013) 581, (*) p330-p334	3.8007 3.8007 9.5445 90.000 90.000 90.000	4	293.00	0.101325	Eu0.01 O2 Ti0.99		
8245	Nb0.96 Ti0.04 O2	NbO2	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1979) 35, (*) p2836-p2842	13.6660 13.6660 5.9970 90.000 90.000 90.000	32	293.00	0.101325	Nb0.96 O2 Ti0.04		
8246	Nb0.955 Ti0.045 O2	NbO2	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1979) 35, (*) p2836-p2842	13.6320 13.6320 5.9710 90.000 90.000 90.000	32	293.00	0.101325	Nb0.955 O2 Ti0.045		
8247	Nb0.80 Ti0.20 O2	NbO2	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1979) 35, (*) p2836-p2842	13.5590 13.5590 5.9980 90.000 90.000 90.000	32	293.00	0.101325	Nb0.8 O2 Ti0.2		
72275	Cr Nb O4	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1992) 609, (*) p51-p54	4.6484 4.6484 3.0113 90.000 90.000 90.000	1	293.00	0.101325	Cr1 Nb1 O4		
72277	Ti Nb O4	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1992) 609, (*) p51-p54	4.7430 4.7430 2.9944 90.000 90.000 90.000	1	293.00	0.101325	Nb1 O4 Ti1		
72278	Ti Ta O4	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1992) 609, (*) p51-p54	4.7090 4.7090 3.0672 90.000 90.000 90.000	1	293.00	0.101325	O4 Ta1 Ti1	5.8	
80841	Ti.98 O1.892 (O H)0.108	Rutile-TiO2	American Mineralogist (1995) 80, (*) p448-p453	4.5870 4.5870 2.9540 90.000 90.000 90.000	2	24.00	0.101325	H0.108 O2 Ti0.98	4.2	
86826	Rh (Nb O4)	Rutile-TiO2	Materials Science Forum (1998) 278, (*) p714-p719	4.7019 4.7019 3.0168 90.000 90.000 90.000	1	293.00	0.101325	Nb1 O4 Rh1		
97274	(Ti0.712 Nb0.288) O2	Rutile-TiO2	American Mineralogist (2003) 88, (*) p986-p995	4.6392 4.6392 2.9902 90.000 90.000 90.000	2	293.00	0.101325	Nb0.288 O2 Ti0.712		
97275	(Ti0.912 Nb0.088) O2	Rutile-TiO2	American Mineralogist (2003) 88, (*) p986-p995	4.6339 4.6339 2.9886 90.000 90.000 90.000	2	293.00	0.101325	Nb0.088 O2 Ti0.912		
97276	(Ti0.736 Nb0.264) O2	Rutile-TiO2	American Mineralogist (2003) 88, (*) p986-p995	4.6363 4.6363 2.9903 90.000 90.000 90.000	2	293.00	0.101325	Nb0.264 O2 Ti0.736		
97278	(Ti0.84 Nb0.16) O2	Rutile-TiO2	American Mineralogist (2003) 88, (*) p986-p995	4.6342 4.6342 2.9886 90.000 90.000 90.000	2	293.00	0.101325	Nb0.16 O2 Ti0.84		
97279	(Ti0.952 Nb0.048) O2	Rutile-TiO2	American Mineralogist (2003) 88, (*) p986-p995	4.6220 4.6220 2.9763 90.000 90.000 90.000	2	293.00	0.101325	Nb0.048 O2 Ti0.952		
154961	(Sn0.938 Sb0.062) O1.88	Rutile-TiO2	Journal of Physics and Chemistry of Solids (2002) 63, (*) p765-p772	4.7402 4.7402 3.1856 90.000 90.000 90.000	2	293.00	0.101325	O1.88 Sb0.062 Sn0.938		
154962	(Sn0.881 Sb0.119) O1.82	Rutile-TiO2	Journal of Physics and Chemistry of Solids (2002) 63, (*) p765-p772	4.7406 4.7406 3.1865 90.000 90.000 90.000	2	293.00	0.101325	O1.82 Sb0.119 Sn0.881		
159916	(Ti0.995 Cr0.005) O2	Rutile-TiO2	Wuli Xuebao (2007) 56, (6) p3379-p3387	4.5913 4.5913 2.9583 90.000 90.000 90.000	2	293.00	0.101325	Cr0.005 O2 Ti0.995		
159917	(Ti0.99 Cr0.01) O2	Rutile-TiO2	Wuli Xuebao (2007) 56, (6) p3379-p3387	4.5889 4.5889 2.9562 90.000 90.000 90.000	2	293.00	0.101325	Cr0.01 O2 Ti0.99		
159918	(Ti0.98 Cr0.02) O2	Rutile-TiO2	Wuli Xuebao (2007) 56, (6) p3379-p3387	4.5867 4.5867 2.9541 90.000 90.000 90.000	2	293.00	0.101325	Cr0.02 O2 Ti0.98		
159919	(Ti0.97 Cr0.03) O2	Rutile-TiO2	Wuli Xuebao (2007) 56, (6) p3379-p3387	4.5848 4.5848 2.9520 90.000 90.000 90.000	2	293.00	0.101325	Cr0.03 O2 Ti0.97		
160668	(Sn0.97 Ce0.03) O2	Rutile-TiO2	Chemical sensors (2008) 24, (*) p19-p21	4.7396 4.7396 3.1845 90.000 90.000 90.000	2	293.00	0.101325	Ce0.03 O2 Sn0.97		
161282	Sn0.39 Ti0.61 O2	Rutile-TiO2	Chemistry of Materials (2008) 20, (*) p4931-p4935	4.6805 4.6805 3.0961 90.000 90.000 90.000	2	293.00	0.101325	O2 Sn0.39 Ti0.61		
240862	V0.21 Ge0.74 O2	Rutile-TiO2	Acta Crystallographica, Section E: Structure Reports Online (2007) 63, (4) pi99-pi101	4.4001 4.4001 2.8670 90.000 90.000 90.000	2	295.00	0.101325	Ge0.74 O2 V0.21		
263780	Ge1.14 Ti0.86 O4	Rutile-TiO2	Acta Crystallographica, Section E: Crystallographic Communications (2018) 74, (7) p1010-p1012	4.4930 4.4930 2.9121 90.000 90.000 90.000	1	298.00	0.101325	Ge1.14 O4 Ti0.86		
401505	(Ti0.33 Ta0.67) O2	Rutile-TiO2	Zeitschrift fuer Naturforschung, B: A Journal of Chemical Sciences (1995) 50, (*) p1167-p1170	4.7344 4.7344 3.0504 90.000 90.000 90.000	2	293.00	0.101325	O2 Ta0.67 Ti0.33		
9514	Ti Ta O4	Rutile-TiO2	Kristallografiya (1972) 17, (*) p1152-p1161	4.6450 4.6450 3.0200 90.000 90.000 90.000	1	293.00	0.101325	O4 Ta1 Ti1	5.8	
27943	Cr Nb O4	Rutile-TiO2	Journal of Physics C: Solid State Physics (1976) 9, (*) p2601-p2610	4.6430 4.6430 3.0110 90.000 90.000 90.000	1	77.00	0.101325	Cr1 Nb1 O4		
32609	(Co0.66 Nb1.34) O4	Rutile-TiO2	Monatshefte fuer Chemie (1980) 111, (*) p1225-p1227	4.7260 4.7260 3.0540 90.000 90.000 90.000	1	293.00	0.101325	Co0.66 Nb1.34 O4		
37213	(Ni Nb2 O6).6667	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1983) 503, (*) p101-p105	4.7100 4.7100 3.0380 90.000 90.000 90.000	1	293.00	0.101325	Nb1.3334 Ni0.6667 O4.0002		
38392	Ti V O4	Rutile-TiO2	Texas Journal of Science (1951) 1, (*) p82-p85	4.5800 4.5800 2.9500 90.000 90.000 90.000	1	293.00	0.101325	O4 Ti1 V1		
109173	Ti Mo O4	Rutile-TiO2	Acta Chemica Scandinavica  (1962) 16, (*) p293-p296	4.7160 4.7160 2.8990 90.000 90.000 90.000	1	293.00	0.101325	Mo1 O4 Ti1		
109174	Nb Mo O4	Rutile-TiO2	Acta Chemica Scandinavica  (1962) 16, (*) p293-p296	4.8580 4.8580 2.9120 90.000 90.000 90.000	1	293.00	0.101325	Mo1 Nb1 O4		
109175	Nb V O4	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1962) 318, (*) p89-p106	4.6810 4.6810 3.0330 90.000 90.000 90.000	1	293.00	0.101325	Nb1 O4 V1	5.13	
155956	(Sn0.9 Sb0.1) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7370 4.7370 3.1862 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.1 Sn0.9		
155957	(Sn0.9 Sb0.1) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7206 4.7206 3.1693 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.1 Sn0.9		
155958	(Sn0.9 Sb0.1) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7365 4.7365 3.1858 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.1 Sn0.9		
155959	(Sn0.9 Sb0.1) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7170 4.7170 3.1653 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.1 Sn0.9		
155960	(Sn0.8 Sb0.2) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7357 4.7357 3.1852 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.2 Sn0.8		
155961	(Sn0.8 Sb0.2) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7067 4.7067 3.1546 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.2 Sn0.8		
155962	(Sn0.8 Sb0.2) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7362 4.7362 3.1858 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.2 Sn0.8		
155963	(Sn0.8 Sb0.2) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7034 4.7034 3.1510 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.2 Sn0.8		
155964	(Sn0.7 Sb0.3) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7358 4.7358 3.1857 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.3 Sn0.7		
155965	(Sn0.7 Sb0.3) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7000 4.7000 3.1477 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.3 Sn0.7		
155966	(Sn0.7 Sb0.3) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7364 4.7364 3.1861 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.3 Sn0.7		
155967	(Sn0.7 Sb0.3) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7103 4.7103 3.1589 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.3 Sn0.7		
155968	(Sn0.6 Sb0.4) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7354 4.7354 3.1856 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.4 Sn0.6		
155969	(Sn0.6 Sb0.4) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.6970 4.6970 3.1449 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.4 Sn0.6		
155970	(Sn0.6 Sb0.4) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7361 4.7361 3.1861 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.4 Sn0.6		
155971	(Sn0.6 Sb0.4) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7060 4.7060 3.1548 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.4 Sn0.6		
155972	(Sn0.5 Sb0.5) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7347 4.7347 3.1856 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.5 Sn0.5		
155973	(Sn0.5 Sb0.5) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.6879 4.6879 3.1362 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.5 Sn0.5		
155974	(Sn0.5 Sb0.5) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7353 4.7353 3.1859 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.5 Sn0.5		
155975	(Sn0.5 Sb0.5) O2	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2005) 631, (*) p2188-p2191	4.7007 4.7007 3.1488 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.5 Sn0.5		
167693	(Sn0.975 Eu0.025) O2	Rutile-TiO2	Journal of Alloys and Compounds (2010) 498, (*) p81-p87	4.7390 4.7390 3.1910 90.000 90.000 90.000	2	293.00	0.101325	Eu0.025 O2 Sn0.975		
167694	(Sn0.925 Eu0.075) O2	Rutile-TiO2	Journal of Alloys and Compounds (2010) 498, (*) p81-p87	4.7390 4.7390 3.1960 90.000 90.000 90.000	2	293.00	0.101325	Eu0.075 O2 Sn0.925		
183985	(Sn0.99 Cr0.01) O2	Rutile-TiO2	Physica B: Condensed Matter (Amsterdam, Netherlands) (2012) 407, (*) p624-p628	4.7386 4.7386 3.1867 90.000 90.000 90.000	2	293.00	0.101325	Cr0.01 O2 Sn0.99		
183986	(Sn0.98 Cr0.02) O2	Rutile-TiO2	Physica B: Condensed Matter (Amsterdam, Netherlands) (2012) 407, (*) p624-p628	4.7383 4.7383 3.1869 90.000 90.000 90.000	2	293.00	0.101325	Cr0.02 O2 Sn0.98		
183987	(Sn0.97 Cr0.03) O2	Rutile-TiO2	Physica B: Condensed Matter (Amsterdam, Netherlands) (2012) 407, (*) p624-p628	4.7398 4.7398 3.1873 90.000 90.000 90.000	2	293.00	0.101325	Cr0.03 O2 Sn0.97		
183988	(Sn0.96 Cr0.04) O2	Rutile-TiO2	Physica B: Condensed Matter (Amsterdam, Netherlands) (2012) 407, (*) p624-p628	4.7398 4.7398 3.1873 90.000 90.000 90.000	2	293.00	0.101325	Cr0.04 O2 Sn0.96		
183989	(Sn0.95 Cr0.05) O2	Rutile-TiO2	Physica B: Condensed Matter (Amsterdam, Netherlands) (2012) 407, (*) p624-p628	4.7394 4.7394 3.1872 90.000 90.000 90.000	2	293.00	0.101325	Cr0.05 O2 Sn0.95		
184421	(Sn0.97 Mn0.03) O2	Rutile-TiO2	Journal of Alloys and Compounds (2012) 523, (*) p83-p87	4.7930 4.7930 3.1990 90.000 90.000 90.000	2	293.00	0.101325	Mn0.03 O2 Sn0.97		
184422	(Sn0.95 Mn0.05) O2	Rutile-TiO2	Journal of Alloys and Compounds (2012) 523, (*) p83-p87	4.7910 4.7910 3.1910 90.000 90.000 90.000	2	293.00	0.101325	Mn0.05 O2 Sn0.95		
184423	(Sn0.93 Mn0.07) O2	Rutile-TiO2	Journal of Alloys and Compounds (2012) 523, (*) p83-p87	4.7880 4.7880 3.1900 90.000 90.000 90.000	2	293.00	0.101325	Mn0.07 O2 Sn0.93		
184424	(Sn0.91 Mn0.09) O2	Rutile-TiO2	Journal of Alloys and Compounds (2012) 523, (*) p83-p87	4.7790 4.7790 3.1880 90.000 90.000 90.000	2	293.00	0.101325	Mn0.09 O2 Sn0.91		
184425	(Sn0.85 Mn0.15) O2	Rutile-TiO2	Journal of Alloys and Compounds (2012) 523, (*) p83-p87	4.7750 4.7750 3.1850 90.000 90.000 90.000	2	293.00	0.101325	Mn0.15 O2 Sn0.85		
193143	(Sn0.9 Fe0.1) O2	Rutile-TiO2	Journal of Magnetism and Magnetic Materials (2015) 375, (*) p74-p79	4.7332 4.7332 3.1796 90.000 90.000 90.000	2	293.00	0.101325	Fe0.1 O2 Sn0.9		
193144	(Sn0.9 Fe0.1) O2	Rutile-TiO2	Journal of Magnetism and Magnetic Materials (2015) 375, (*) p74-p79	4.7358 4.7358 3.1827 90.000 90.000 90.000	2	293.00	0.101325	Fe0.1 O2 Sn0.9		
